,statecounty,ruralurban
2121,OH Tuscarawas,0
2122,OH Union,0
2123,OH Van Wert,1
2124,OH Vinton,1
2125,OH Warren,0
2126,OH Washington,1
2127,OH Wayne,1
2128,OH Williams,1
2129,OH Wood,0
2130,OH Wyandot,1
2131,OK Adair,1
2132,OK Alfalfa,1
2133,OK Atoka,1
2134,OK Beaver,1
2135,OK Beckham,0
2136,OK Blaine,1
2137,OK Bryan,1
2138,OK Caddo,1
2139,OK Canadian,0
2140,OK Carter,1
2141,OK Cherokee,1
2142,OK Choctaw,1
2143,OK Cimarron,1
2144,OK Cleveland,0
2145,OK Coal,1
2146,OK Comanche,0
2147,OK Cotton,1
2148,OK Craig,1
2149,OK Creek,1
2150,OK Custer,0
2151,OK Delaware,1
2152,OK Dewey,1
2153,OK Ellis,1
2154,OK Garfield,0
2155,OK Garvin,1
2156,OK Grady,1
2157,OK Grant,1
2158,OK Greer,1
2159,OK Harmon,1
2160,OK Harper,1
2161,OK Haskell,1
2162,OK Hughes,1
2163,OK Jackson,0
2164,OK Jefferson,1
2165,OK Johnston,1
2166,OK Kay,0
2167,OK Kingfisher,1
2168,OK Kiowa,1
2169,OK Latimer,1
2170,OK Le Flore,1
2171,OK Lincoln,1
2172,OK Logan,1
2173,OK Love,1
2174,OK McClain,1
2175,OK McCurtain,1
2176,OK McIntosh,1
2177,OK Major,1
2178,OK Marshall,1
2179,OK Mayes,1
2180,OK Murray,0
2181,OK Muskogee,0
2182,OK Noble,1
2183,OK Nowata,1
2184,OK Okfuskee,1
2185,OK Oklahoma,0
2186,OK Okmulgee,0
2187,OK Osage,1
2188,OK Ottawa,0
2189,OK Pawnee,1
2190,OK Payne,0
2191,OK Pittsburg,1
2192,OK Pontotoc,1
2193,OK Pottawatomie,1
2194,OK Pushmataha,1
2195,OK Roger Mills,1
2196,OK Rogers,1
2197,OK Seminole,1
2198,OK Sequoyah,1
2199,OK Stephens,0
2200,OK Texas,0
2201,OK Tillman,1
2202,OK Tulsa,0
2203,OK Wagoner,0
2204,OK Washington,0
2205,OK Washita,1
2206,OK Woods,0
2207,OK Woodward,0
2208,OR Baker,0
2209,OR Benton,0
2210,OR Clackamas,0
2211,OR Clatsop,0
2212,OR Columbia,0
2213,OR Coos,0
2214,OR Crook,0
2215,OR Curry,0
2216,OR Deschutes,0
2217,OR Douglas,0
2218,OR Gilliam,1
2219,OR Grant,1
2220,OR Harney,0
2221,OR Hood River,1
2222,OR Jackson,0
2223,OR Jefferson,1
2224,OR Josephine,0
2225,OR Klamath,0
2226,OR Lake,1
2227,OR Lane,0
2228,OR Lincoln,0
2229,OR Linn,0
2230,OR Malheur,0
2231,OR Marion,0
2232,OR Morrow,0
2233,OR Multnomah,0
2234,OR Polk,0
2235,OR Sherman,1
2236,OR Tillamook,1
2237,OR Umatilla,0
2238,OR Union,0
2239,OR Wallowa,1
2240,OR Wasco,0
2241,OR Washington,0
2242,OR Wheeler,1
2243,OR Yamhill,0
2244,PA Adams,1
2245,PA Allegheny,0
2246,PA Armstrong,1
2247,PA Beaver,0
2248,PA Bedford,1
2249,PA Berks,0
2250,PA Blair,0
2251,PA Bradford,1
2252,PA Bucks,0
2253,PA Butler,0
2254,PA Cambria,0
2255,PA Cameron,0
2256,PA Carbon,0
2257,PA Centre,0
2258,PA Chester,0
2259,PA Clarion,1
2260,PA Clearfield,1
2261,PA Clinton,0
2262,PA Columbia,0
2263,PA Crawford,1
2264,PA Cumberland,0
2265,PA Dauphin,0
2266,PA Delaware,0
2267,PA Elk,1
2268,PA Erie,0
2269,PA Fayette,0
2270,PA Forest,1
2271,PA Franklin,0
2272,PA Fulton,1
2273,PA Greene,1
2274,PA Huntingdon,1
2275,PA Indiana,1
2276,PA Jefferson,1
2277,PA Juniata,1
2278,PA Lackawanna,0
2279,PA Lancaster,0
2280,PA Lawrence,0
2281,PA Lebanon,0
2282,PA Lehigh,0
2283,PA Luzerne,0
2284,PA Lycoming,0
2285,PA McKean,1
2286,PA Mercer,0
2287,PA Mifflin,1
2288,PA Monroe,0
2289,PA Montgomery,0
2290,PA Montour,1
2291,PA Northampton,0
2292,PA Northumberland,0
2293,PA Perry,1
2294,PA Philadelphia,0
2295,PA Pike,1
2296,PA Potter,1
2297,PA Schuylkill,0
2298,PA Snyder,1
2299,PA Somerset,1
2300,PA Sullivan,1
2301,PA Susquehanna,1
2302,PA Tioga,1
2303,PA Union,0
2304,PA Venango,1
2305,PA Warren,1
2306,PA Washington,0
2307,PA Wayne,1
2308,PA Westmoreland,0
2309,PA Wyoming,1
2310,PA York,0
2311,RI Bristol,0
2312,RI Kent,0
2313,RI Newport,0
2314,RI Providence,0
2315,RI Washington,0
2316,SC Abbeville,1
2317,SC Aiken,0
2318,SC Allendale,1
2319,SC Anderson,0
2320,SC Bamberg,1
2321,SC Barnwell,1
2322,SC Beaufort,0
2323,SC Berkeley,0
2324,SC Calhoun,1
2325,SC Charleston,0
2326,SC Cherokee,1
2327,SC Chester,1
2328,SC Chesterfield,1
2329,SC Clarendon,1
2330,SC Colleton,1
2331,SC Darlington,1
2332,SC Dillon,1
2333,SC Dorchester,0
2334,SC Edgefield,1
2335,SC Fairfield,1
2336,SC Florence,0
2337,SC Georgetown,0
2338,SC Greenville,0
2339,SC Greenwood,0
2340,SC Hampton,1
2341,SC Horry,0
2342,SC Jasper,1
2343,SC Kershaw,1
2344,SC Lancaster,0
2345,SC Laurens,1
2346,SC Lee,1
2347,SC Lexington,0
2348,SC McCormick,1
2349,SC Marion,1
2350,SC Marlboro,1
2351,SC Newberry,1
2352,SC Oconee,1
2353,SC Orangeburg,1
2354,SC Pickens,0
2355,SC Richland,0
2356,SC Saluda,1
2357,SC Spartanburg,0
2358,SC Sumter,0
2359,SC Union,1
2360,SC Williamsburg,1
2361,SC York,0
2362,SD Aurora,1
2363,SD Beadle,0
2364,SD Bennett,1
2365,SD Bon Homme,1
2366,SD Brookings,0
2367,SD Brown,0
2368,SD Brule,1
2369,SD Buffalo,1
2370,SD Butte,0
2371,SD Campbell,1
2372,SD Charles Mix,1
2373,SD Clark,1
2374,SD Clay,0
2375,SD Codington,0
2376,SD Corson,1
2377,SD Custer,1
2378,SD Davison,0
2379,SD Day,1
2380,SD Deuel,1
2381,SD Dewey,1
2382,SD Douglas,1
2383,SD Edmunds,1
2384,SD Fall River,0
2385,SD Faulk,1
2386,SD Grant,1
2387,SD Gregory,1
2388,SD Haakon,1
2389,SD Hamlin,1
2390,SD Hand,1
2391,SD Hanson,1
2392,SD Harding,1
2393,SD Hughes,0
2394,SD Hutchinson,1
2395,SD Hyde,1
2396,SD Jackson,1
2397,SD Jerauld,1
2398,SD Jones,1
2399,SD Kingsbury,1
2400,SD Lake,0
2401,SD Lawrence,0
2402,SD Lincoln,0
2403,SD Lyman,1
2404,SD McCook,1
2405,SD McPherson,1
2406,SD Marshall,1
2407,SD Meade,0
2408,SD Mellette,1
2409,SD Miner,1
2410,SD Minnehaha,0
2411,SD Moody,1
2412,SD Oglala Lakota,1
2413,SD Pennington,0
2414,SD Perkins,1
2415,SD Potter,1
2416,SD Roberts,1
2417,SD Sanborn,1
2418,SD Spink,1
2419,SD Stanley,0
2420,SD Sully,1
2421,SD Todd,1
2422,SD Tripp,0
2423,SD Turner,1
2424,SD Union,1
2425,SD Walworth,0
2426,SD Yankton,0
2427,SD Ziebach,1
2428,TN Anderson,0
2429,TN Bedford,1
2430,TN Benton,1
2431,TN Bledsoe,1
2432,TN Blount,0
2433,TN Bradley,0
2434,TN Campbell,1
2435,TN Cannon,1
2436,TN Carroll,1
2437,TN Carter,0
2438,TN Cheatham,1
2439,TN Chester,1
2440,TN Claiborne,1
2441,TN Clay,1
2442,TN Cocke,1
2443,TN Coffee,0
2444,TN Crockett,1
2445,TN Cumberland,1
2446,TN Davidson,0
2447,TN Decatur,1
2448,TN DeKalb,1
2449,TN Dickson,1
2450,TN Dyer,0
2451,TN Fayette,1
2452,TN Fentress,1
2453,TN Franklin,1
2454,TN Gibson,0
2455,TN Giles,1
2456,TN Grainger,1
2457,TN Greene,1
2458,TN Grundy,1
2459,TN Hamblen,0
2460,TN Hamilton,0
2461,TN Hancock,1
2462,TN Hardeman,1
2463,TN Hardin,1
2464,TN Hawkins,1
2465,TN Haywood,0
2466,TN Henderson,1
2467,TN Henry,1
2468,TN Hickman,1
2469,TN Houston,1
2470,TN Humphreys,1
2471,TN Jackson,1
2472,TN Jefferson,1
2473,TN Johnson,1
2474,TN Knox,0
2475,TN Lake,1
2476,TN Lauderdale,1
2477,TN Lawrence,1
2478,TN Lewis,1
2479,TN Lincoln,1
2480,TN Loudon,0
2481,TN McMinn,1
2482,TN McNairy,1
2483,TN Macon,1
2484,TN Madison,0
2485,TN Marion,1
2486,TN Marshall,1
2487,TN Maury,0
2488,TN Meigs,1
2489,TN Monroe,1
2490,TN Montgomery,0
2491,TN Moore,1
2492,TN Morgan,1
2493,TN Obion,1
2494,TN Overton,1
2495,TN Perry,1
2496,TN Pickett,1
2497,TN Polk,1
2498,TN Putnam,0
2499,TN Rhea,1
2500,TN Roane,1
2501,TN Robertson,1
2502,TN Rutherford,0
2503,TN Scott,1
2504,TN Sequatchie,1
2505,TN Sevier,1
2506,TN Shelby,0
2507,TN Smith,1
2508,TN Stewart,1
2509,TN Sullivan,0
2510,TN Sumner,0
2511,TN Tipton,1
2512,TN Trousdale,1
2513,TN Unicoi,0
2514,TN Union,1
2515,TN Van Buren,1
2516,TN Warren,1
2517,TN Washington,0
2518,TN Wayne,1
2519,TN Weakley,1
2520,TN White,1
2521,TN Williamson,0
2522,TN Wilson,0
2523,TX Anderson,1
2524,TX Andrews,0
2525,TX Angelina,0
2526,TX Aransas,0
2527,TX Archer,1
2528,TX Armstrong,1
2529,TX Atascosa,1
2530,TX Austin,1
2531,TX Bailey,0
2532,TX Bandera,1
2533,TX Bastrop,1
2534,TX Baylor,1
2535,TX Bee,0
2536,TX Bell,0
2537,TX Bexar,0
2538,TX Blanco,1
2539,TX Borden,1
2540,TX Bosque,1
2541,TX Bowie,0
2542,TX Brazoria,0
2543,TX Brazos,0
2544,TX Brewster,0
2545,TX Briscoe,1
2546,TX Brooks,0
2547,TX Brown,0
2548,TX Burleson,1
2549,TX Burnet,1
2550,TX Caldwell,0
2551,TX Calhoun,0
2552,TX Callahan,1
2553,TX Cameron,0
2554,TX Camp,1
2555,TX Carson,1
2556,TX Cass,1
2557,TX Castro,0
2558,TX Chambers,0
2559,TX Cherokee,1
2560,TX Childress,0
2561,TX Clay,1
2562,TX Cochran,1
2563,TX Coke,1
2564,TX Coleman,1
2565,TX Collin,0
2566,TX Collingsworth,1
2567,TX Colorado,1
2568,TX Comal,0
2569,TX Comanche,1
2570,TX Concho,1
2571,TX Cooke,1
2572,TX Coryell,0
2573,TX Cottle,1
2574,TX Crane,0
2575,TX Crockett,0
2576,TX Crosby,1
2577,TX Culberson,1
2578,TX Dallam,0
2579,TX Dallas,0
2580,TX Dawson,0
2581,TX Deaf Smith,0
2582,TX Delta,1
2583,TX Denton,0
2584,TX DeWitt,0
2585,TX Dickens,1
2586,TX Dimmit,0
2587,TX Donley,1
2588,TX Duval,1
2589,TX Eastland,1
2590,TX Ector,0
2591,TX Edwards,1
2592,TX Ellis,0
2593,TX El Paso,0
2594,TX Erath,0
2595,TX Falls,1
2596,TX Fannin,1
2597,TX Fayette,1
2598,TX Fisher,1
2599,TX Floyd,1
2600,TX Foard,1
2601,TX Fort Bend,0
2602,TX Franklin,1
2603,TX Freestone,1
2604,TX Frio,0
2605,TX Gaines,1
2606,TX Galveston,0
2607,TX Garza,0
2608,TX Gillespie,1
2609,TX Glasscock,1
2610,TX Goliad,1
2611,TX Gonzales,1
2612,TX Gray,0
2613,TX Grayson,0
2614,TX Gregg,0
2615,TX Grimes,1
2616,TX Guadalupe,0
2617,TX Hale,0
2618,TX Hall,1
2619,TX Hamilton,1
2620,TX Hansford,0
2621,TX Hardeman,1
2622,TX Hardin,1
2623,TX Harris,0
2624,TX Harrison,1
2625,TX Hartley,1
2626,TX Haskell,0
2627,TX Hays,0
2628,TX Hemphill,0
2629,TX Henderson,1
2630,TX Hidalgo,0
2631,TX Hill,1
2632,TX Hockley,0
2633,TX Hood,0
2634,TX Hopkins,1
2635,TX Houston,1
2636,TX Howard,0
2637,TX Hudspeth,1
2638,TX Hunt,1
2639,TX Hutchinson,0
2640,TX Irion,1
2641,TX Jack,1
2642,TX Jackson,1
2643,TX Jasper,1
2644,TX Jeff Davis,1
2645,TX Jefferson,0
2646,TX Jim Hogg,0
2647,TX Jim Wells,0
2648,TX Johnson,0
2649,TX Jones,1
2650,TX Karnes,0
2651,TX Kaufman,0
2652,TX Kendall,1
2653,TX Kenedy,1
2654,TX Kent,1
2655,TX Kerr,0
2656,TX Kimble,0
2657,TX King,1
2658,TX Kinney,0
2659,TX Kleberg,0
2660,TX Knox,1
2661,TX Lamar,0
2662,TX Lamb,1
2663,TX Lampasas,1
2664,TX La Salle,0
2665,TX Lavaca,1
2666,TX Lee,1
2667,TX Leon,1
2668,TX Liberty,1
2669,TX Limestone,1
2670,TX Lipscomb,1
2671,TX Live Oak,1
2672,TX Llano,0
2673,TX Loving,1
2674,TX Lubbock,0
2675,TX Lynn,1
2676,TX McCulloch,0
2677,TX McLennan,0
2678,TX McMullen,1
2679,TX Madison,1
2680,TX Marion,1
2681,TX Martin,1
2682,TX Mason,1
2683,TX Matagorda,0
2684,TX Maverick,0
2685,TX Medina,1
2686,TX Menard,1
2687,TX Midland,0
2688,TX Milam,1
2689,TX Mills,1
2690,TX Mitchell,0
2691,TX Montague,1
2692,TX Montgomery,0
2693,TX Moore,0
2694,TX Morris,1
2695,TX Motley,1
2696,TX Nacogdoches,0
2697,TX Navarro,1
2698,TX Newton,1
2699,TX Nolan,0
2700,TX Nueces,0
2701,TX Ochiltree,0
2702,TX Oldham,1
2703,TX Orange,0
2704,TX Palo Pinto,1
2705,TX Panola,1
2706,TX Parker,1
2707,TX Parmer,1
2708,TX Pecos,0
2709,TX Polk,1
2710,TX Potter,0
2711,TX Presidio,0
2712,TX Rains,1
2713,TX Randall,0
2714,TX Reagan,0
2715,TX Real,1
2716,TX Red River,1
2717,TX Reeves,0
2718,TX Refugio,1
2719,TX Roberts,1
2720,TX Robertson,1
2721,TX Rockwall,0
2722,TX Runnels,0
2723,TX Rusk,1
2724,TX Sabine,1
2725,TX San Augustine,1
2726,TX San Jacinto,1
2727,TX San Patricio,0
2728,TX San Saba,0
2729,TX Schleicher,1
2730,TX Scurry,0
2731,TX Shackelford,1
2732,TX Shelby,1
2733,TX Sherman,1
2734,TX Smith,0
2735,TX Somervell,1
2736,TX Starr,0
2737,TX Stephens,0
2738,TX Sterling,1
2739,TX Stonewall,1
2740,TX Sutton,0
2741,TX Swisher,0
2742,TX Tarrant,0
2743,TX Taylor,0
2744,TX Terrell,1
2745,TX Terry,0
2746,TX Throckmorton,1
2747,TX Titus,1
2748,TX Tom Green,0
2749,TX Travis,0
2750,TX Trinity,1
2751,TX Tyler,1
2752,TX Upshur,1
2753,TX Upton,1
2754,TX Uvalde,0
2755,TX Val Verde,0
2756,TX Van Zandt,1
2757,TX Victoria,0
2758,TX Walker,0
2759,TX Waller,1
2760,TX Ward,0
2761,TX Washington,1
2762,TX Webb,0
2763,TX Wharton,0
2764,TX Wheeler,1
2765,TX Wichita,0
2766,TX Wilbarger,0
2767,TX Willacy,0
2768,TX Williamson,0
2769,TX Wilson,1
2770,TX Winkler,0
2771,TX Wise,1
2772,TX Wood,1
2773,TX Yoakum,0
2774,TX Young,0
2775,TX Zapata,0
2776,TX Zavala,0
2777,UT Beaver,1
2778,UT Box Elder,0
2779,UT Cache,0
2780,UT Carbon,0
2781,UT Daggett,1
2782,UT Davis,0
2783,UT Duchesne,1
2784,UT Emery,1
2785,UT Garfield,1
2786,UT Grand,0
2787,UT Iron,0
2788,UT Juab,0
2789,UT Kane,1
2790,UT Millard,1
2791,UT Morgan,1
2792,UT Piute,1
2793,UT Rich,1
2794,UT Salt Lake,0
2795,UT San Juan,1
2796,UT Sanpete,0
2797,UT Sevier,1
2798,UT Summit,0
2799,UT Tooele,0
2800,UT Uintah,0
2801,UT Utah,0
2802,UT Wasatch,0
2803,UT Washington,0
2804,UT Wayne,1
2805,UT Weber,0
2806,VT Addison,1
2807,VT Bennington,1
2808,VT Caledonia,1
2809,VT Chittenden,0
2810,VT Essex,1
2811,VT Franklin,1
2812,VT Grand Isle,1
2813,VT Lamoille,1
2814,VT Orange,1
2815,VT Orleans,1
2816,VT Rutland,1
2817,VT Washington,1
2818,VT Windham,1
2819,VT Windsor,1
2820,VA Accomack,1
2821,VA Albemarle,0
2822,VA Alleghany,1
2823,VA Amelia,1
2824,VA Amherst,1
2825,VA Appomattox,1
2826,VA Arlington,0
2827,VA Augusta,1
2828,VA Bath,1
2829,VA Bedford City,1
2830,VA Bland,1
2831,VA Botetourt,1
2832,VA Brunswick,1
2833,VA Buchanan,1
2834,VA Buckingham,1
2835,VA Campbell,1
2836,VA Caroline,1
2837,VA Carroll,1
2838,VA Charles City,1
2839,VA Charlotte,1
2840,VA Chesterfield,0
2841,VA Clarke,1
2842,VA Craig,1
2843,VA Culpeper,1
2844,VA Cumberland,1
2845,VA Dickenson,1
2846,VA Dinwiddie,1
2847,VA Essex,1
2848,VA Fairfax,0
2849,VA Fauquier,1
2850,VA Floyd,1
2851,VA Fluvanna,1
2852,VA Franklin,1
2853,VA Frederick,0
2854,VA Giles,1
2855,VA Gloucester,1
2856,VA Goochland,1
2857,VA Grayson,1
2858,VA Greene,1
2859,VA Greensville,1
2860,VA Halifax,1
2861,VA Hanover,0
2862,VA Henrico,0
2863,VA Henry,1
2864,VA Highland,1
2865,VA Isle of Wight,1
2866,VA James City,0
2867,VA King and Queen,1
2868,VA King George,1
2869,VA King William,1
2870,VA Lancaster,1
2871,VA Lee,1
2872,VA Loudoun,0
2873,VA Louisa,1
2874,VA Lunenburg,1
2875,VA Madison,1
2876,VA Mathews,1
2877,VA Mecklenburg,1
2878,VA Middlesex,1
2879,VA Montgomery,0
2880,VA Nelson,1
2881,VA New Kent,1
2882,VA Northampton,1
2883,VA Northumberland,1
2884,VA Nottoway,1
2885,VA Orange,1
2886,VA Page,1
2887,VA Patrick,1
2888,VA Pittsylvania,1
2889,VA Powhatan,1
2890,VA Prince Edward,1
2891,VA Prince George,1
2892,VA Prince William,0
2893,VA Pulaski,0
2894,VA Rappahannock,1
2895,VA Richmond,1
2896,VA Roanoke,0
2897,VA Rockbridge,1
2898,VA Rockingham,1
2899,VA Russell,1
2900,VA Scott,1
2901,VA Shenandoah,1
2902,VA Smyth,1
2903,VA Southampton,1
2904,VA Spotsylvania,0
2905,VA Stafford,0
2906,VA Surry,1
2907,VA Sussex,1
2908,VA Tazewell,1
2909,VA Warren,1
2910,VA Washington,1
2911,VA Westmoreland,1
2912,VA Wise,1
2913,VA Wythe,1
2914,VA York,0
2915,VA Alexandria City,0
2916,VA Anchorage,0
2917,VA Buena Vista City,0
2918,VA Charlottesville City,0
2919,VA Chesapeake City,0
2920,VA Colonial Heights City,0
2921,VA Covington City,0
2922,VA Danville City,0
2923,VA Emporia City,0
2924,VA Fairfax City,0
2925,VA Falls Church City,0
2926,VA Franklin City,0
2927,VA Fredericksburg City,0
2928,VA Galax City,0
2929,VA Hampton City,0
2930,VA Harrisonburg City,0
2931,VA Hopewell City,0
2932,VA Lexington City,0
2933,VA Lynchburg City,0
2934,VA Manassas City,0
2935,VA Manassas Park City,0
2936,VA Martinsville City,0
2937,VA Newport News City,0
2938,VA Norfolk City,0
2939,VA Norton City,0
2940,VA Petersburg City,0
2941,VA Poquoson City,0
2942,VA Portsmouth City,0
2943,VA Radford City,0
2944,VA Richmond City,0
2945,VA Roanoke City,0
2946,VA Salem City,0
2947,VA Staunton City,0
2948,VA Suffolk City,0
2949,VA Virginia Beach City,0
2950,VA Waynesboro City,0
2951,VA Williamsburg City,0
2952,VA Winchester City,0
2953,WA Adams,0
2954,WA Asotin,0
2955,WA Benton,0
2956,WA Chelan,0
2957,WA Clallam,0
2958,WA Clark,0
2959,WA Columbia,0
2960,WA Cowlitz,0
2961,WA Douglas,0
2962,WA Ferry,1
2963,WA Franklin,0
2964,WA Garfield,1
2965,WA Grant,0
2966,WA Grays Harbor,0
2967,WA Island,0
2968,WA Jefferson,1
2969,WA King,0
2970,WA Kitsap,0
2971,WA Kittitas,0
2972,WA Klickitat,1
2973,WA Lewis,1
2974,WA Lincoln,1
2975,WA Mason,1
2976,WA Okanogan,1
2977,WA Pacific,1
2978,WA Pend Oreille,1
2979,WA Pierce,0
2980,WA San Juan,1
2981,WA Skagit,0
2982,WA Skamania,1
2983,WA Snohomish,0
2984,WA Spokane,0
2985,WA Stevens,1
2986,WA Thurston,0
2987,WA Wahkiakum,1
2988,WA Walla Walla,0
2989,WA Whatcom,0
2990,WA Whitman,0
2991,WA Yakima,0
2992,WV Barbour,1
2993,WV Berkeley,0
2994,WV Boone,1
2995,WV Braxton,1
2996,WV Brooke,0
2997,WV Cabell,0
2998,WV Calhoun,1
2999,WV Clay,1
3000,WV Doddridge,1
3001,WV Fayette,1
3002,WV Gilmer,1
3003,WV Grant,1
3004,WV Greenbrier,1
3005,WV Hampshire,1
3006,WV Hancock,0
3007,WV Hardy,1
3008,WV Harrison,0
3009,WV Jackson,1
3010,WV Jefferson,0
3011,WV Kanawha,0
3012,WV Lewis,1
3013,WV Lincoln,1
3014,WV Logan,1
3015,WV McDowell,1
3016,WV Marion,0
3017,WV Marshall,0
3018,WV Mason,1
3019,WV Mercer,0
3020,WV Mineral,1
3021,WV Mingo,1
3022,WV Monongalia,0
3023,WV Monroe,1
3024,WV Morgan,1
3025,WV Nicholas,1
3026,WV Ohio,0
3027,WV Pendleton,1
3028,WV Pleasants,1
3029,WV Pocahontas,1
3030,WV Preston,1
3031,WV Putnam,0
3032,WV Raleigh,0
3033,WV Randolph,1
3034,WV Ritchie,1
3035,WV Roane,1
3036,WV Summers,1
3037,WV Taylor,1
3038,WV Tucker,1
3039,WV Tyler,1
3040,WV Upshur,1
3041,WV Wayne,1
3042,WV Webster,1
3043,WV Wetzel,1
3044,WV Wirt,1
3045,WV Wood,0
3046,WV Wyoming,1
3047,WI Adams,1
3048,WI Ashland,1
3049,WI Barron,1
3050,WI Bayfield,1
3051,WI Brown,0
3052,WI Buffalo,1
3053,WI Burnett,1
3054,WI Calumet,0
3055,WI Chippewa,0
3056,WI Clark,1
3057,WI Columbia,1
3058,WI Crawford,1
3059,WI Dane,0
3060,WI Dodge,0
3061,WI Door,1
3062,WI Douglas,0
3063,WI Dunn,1
3064,WI Eau Claire,0
3065,WI Florence,1
3066,WI Fond du Lac,0
3067,WI Forest,1
3068,WI Grant,1
3069,WI Green,1
3070,WI Green Lake,1
3071,WI Iowa,1
3072,WI Iron,1
3073,WI Jackson,1
3074,WI Jefferson,0
3075,WI Juneau,1
3076,WI Kenosha,0
3077,WI Kewaunee,1
3078,WI La Crosse,0
3079,WI Lafayette,1
3080,WI Langlade,1
3081,WI Lincoln,1
3082,WI Manitowoc,0
3083,WI Marathon,0
3084,WI Marinette,1
3085,WI Marquette,1
3086,WI Menominee,1
3087,WI Milwaukee,0
3088,WI Monroe,1
3089,WI Oconto,1
3090,WI Oneida,1
3091,WI Outagamie,0
3092,WI Ozaukee,0
3093,WI Pepin,1
3094,WI Pierce,1
3095,WI Polk,1
3096,WI Portage,0
3097,WI Price,1
3098,WI Racine,0
3099,WI Richland,1
3100,WI Rock,0
3101,WI Rusk,1
3102,WI Saint Croix,1
3103,WI Sauk,0
3104,WI Sawyer,1
3105,WI Shawano,1
3106,WI Sheboygan,0
3107,WI Taylor,1
3108,WI Trempealeau,1
3109,WI Vernon,1
3110,WI Vilas,1
3111,WI Walworth,0
3112,WI Washburn,1
3113,WI Washington,0
3114,WI Waukesha,0
3115,WI Waupaca,1
3116,WI Waushara,1
3117,WI Winnebago,0
3118,WI Wood,0
3119,WY Albany,0
3120,WY Big Horn,1
3121,WY Campbell,0
3122,WY Carbon,0
3123,WY Converse,1
3124,WY Crook,1
3125,WY Fremont,1
3126,WY Goshen,0
3127,WY Hot Springs,0
3128,WY Johnson,0
3129,WY Laramie,0
3130,WY Lincoln,1
3131,WY Natrona,0
3132,WY Niobrara,1
3133,WY Park,0
3134,WY Platte,1
3135,WY Sheridan,0
3136,WY Sublette,1
3137,WY Sweetwater,0
3138,WY Teton,0
3139,WY Uinta,0
3140,WY Washakie,0
3141,WY Weston,1
